hwjcknre2020-05-25/16:07:26		log_message
2020-05-28/00:01:10		Validation Operation completed!!
2020-05-28/00:01:10		Extracting csv file from table
2020-05-28/00:41:14		Start of Validation on files for Training
2020-05-28/00:41:15		Raw Data Validation Complete!!
2020-05-28/00:41:15		Starting Data Transforamtion!!
2020-05-28/00:41:16		DataTransformation Completed!!!
2020-05-28/00:41:16		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/00:41:16		Table creation Completed!!
2020-05-28/00:41:16		Insertion of Data into Table started!!!!
2020-05-28/00:41:18		Insertion in Table completed!!!
2020-05-28/00:41:18		Deleting Good Data Folder!!!
2020-05-28/00:41:18		Good_Data folder deleted!!!
2020-05-28/00:41:18		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/00:41:18		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/00:41:18		Validation Operation completed!!
2020-05-28/00:41:18		Extracting csv file from table
2020-05-28/00:41:45		Start of Validation on files for Training
2020-05-28/00:41:46		Raw Data Validation Complete!!
2020-05-28/00:41:46		Starting Data Transforamtion!!
2020-05-28/00:41:47		DataTransformation Completed!!!
2020-05-28/00:41:47		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/00:41:47		Table creation Completed!!
2020-05-28/00:41:47		Insertion of Data into Table started!!!!
2020-05-28/00:41:52		Insertion in Table completed!!!
2020-05-28/00:41:52		Deleting Good Data Folder!!!
2020-05-28/00:41:52		Good_Data folder deleted!!!
2020-05-28/00:41:52		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/00:41:52		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/00:41:52		Validation Operation completed!!
2020-05-28/00:41:52		Extracting csv file from table
2020-05-28/00:44:49		Start of Validation on files for Training
2020-05-28/00:44:50		Raw Data Validation Complete!!
2020-05-28/00:44:50		Starting Data Transforamtion!!
2020-05-28/00:44:51		DataTransformation Completed!!!
2020-05-28/00:44:51		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/00:44:51		Table creation Completed!!
2020-05-28/00:44:51		Insertion of Data into Table started!!!!
2020-05-28/00:44:54		Insertion in Table completed!!!
2020-05-28/00:44:54		Deleting Good Data Folder!!!
2020-05-28/00:44:54		Good_Data folder deleted!!!
2020-05-28/00:44:54		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/00:44:54		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/00:44:54		Validation Operation completed!!
2020-05-28/00:44:54		Extracting csv file from table
2020-05-28/00:47:37		Start of Validation on files for Training
2020-05-28/00:47:38		Raw Data Validation Complete!!
2020-05-28/00:47:38		Starting Data Transforamtion!!
2020-05-28/00:47:39		DataTransformation Completed!!!
2020-05-28/00:47:39		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/00:47:39		Table creation Completed!!
2020-05-28/00:47:39		Insertion of Data into Table started!!!!
2020-05-28/00:47:40		Insertion in Table completed!!!
2020-05-28/00:47:40		Deleting Good Data Folder!!!
2020-05-28/00:47:40		Good_Data folder deleted!!!
2020-05-28/00:47:40		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/00:47:40		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/00:47:40		Validation Operation completed!!
2020-05-28/00:47:40		Extracting csv file from table
2020-05-28/00:50:14		Start of Validation on files for Training
2020-05-28/00:50:15		Raw Data Validation Complete!!
2020-05-28/00:50:15		Starting Data Transforamtion!!
2020-05-28/00:50:16		DataTransformation Completed!!!
2020-05-28/00:50:16		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/00:50:16		Table creation Completed!!
2020-05-28/00:50:16		Insertion of Data into Table started!!!!
2020-05-28/00:50:18		Insertion in Table completed!!!
2020-05-28/00:50:18		Deleting Good Data Folder!!!
2020-05-28/00:50:18		Good_Data folder deleted!!!
2020-05-28/00:50:18		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/00:50:18		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/00:50:18		Validation Operation completed!!
2020-05-28/00:50:18		Extracting csv file from table
2020-05-28/00:54:02		Start of Validation on files for Training
2020-05-28/00:54:03		Raw Data Validation Complete!!
2020-05-28/00:54:03		Starting Data Transforamtion!!
2020-05-28/00:54:04		DataTransformation Completed!!!
2020-05-28/00:54:04		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/00:54:04		Table creation Completed!!
2020-05-28/00:54:04		Insertion of Data into Table started!!!!
2020-05-28/00:54:06		Insertion in Table completed!!!
2020-05-28/00:54:06		Deleting Good Data Folder!!!
2020-05-28/00:54:06		Good_Data folder deleted!!!
2020-05-28/00:54:06		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/00:54:06		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/00:54:06		Validation Operation completed!!
2020-05-28/00:54:06		Extracting csv file from table
2020-05-28/00:54:50		Start of Validation on files for Training
2020-05-28/00:54:51		Raw Data Validation Complete!!
2020-05-28/00:54:51		Starting Data Transforamtion!!
2020-05-28/00:54:52		DataTransformation Completed!!!
2020-05-28/00:54:52		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/00:54:52		Table creation Completed!!
2020-05-28/00:54:52		Insertion of Data into Table started!!!!
2020-05-28/00:54:54		Insertion in Table completed!!!
2020-05-28/00:54:54		Deleting Good Data Folder!!!
2020-05-28/00:54:54		Good_Data folder deleted!!!
2020-05-28/00:54:54		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/00:54:54		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/00:54:54		Validation Operation completed!!
2020-05-28/00:54:54		Extracting csv file from table
2020-05-28/01:03:32		Start of Validation on files for Training
2020-05-28/01:03:33		Raw Data Validation Complete!!
2020-05-28/01:03:33		Starting Data Transforamtion!!
2020-05-28/01:03:35		DataTransformation Completed!!!
2020-05-28/01:03:35		Creating Training_Database and tables on the basis of given schema!!!
